,City,coords,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
230,wattegama,"(6.366005489214103, 82.01927948584512)",100,lk,1529948153,100,7.35,80.68,70.95,4.72
231,fukue,"(33.09321347147461, 128.5979445396385)",75,jp,1529946000,88,35.03,136.69,75.2,16.11
232,zhigansk,"(69.90283982622137, 119.29659686467062)",20,ru,1529948155,76,66.77,123.37,59.88,8.08
234,chamba,"(32.43500368105836, 76.16549366150855)",24,in,1529948158,56,32.56,76.12,66.27,2.04
235,greece,"(43.445118452305906, -78.01956259941738)",20,us,1529945640,35,43.21,-77.69,71.6,11.41
236,buraydah,"(27.48769918681407, 42.90380991962701)",0,sa,1529946000,18,26.33,43.97,102.2,6.93
237,nerchinsk,"(52.159315814046835, 116.74068536680954)",92,ru,1529948162,98,51.98,116.59,56.82,8.41
238,mantua,"(22.555146125790372, -84.27878899199459)",24,cu,1529948163,63,22.29,-84.28,87.78,6.17
239,groningen,"(6.738357341871634, -55.636333986362814)",20,sr,1529946000,62,5.79,-55.48,84.2,6.93
241,amaraji,"(-8.385270477501095, -35.41142458685388)",20,br,1529946000,69,-8.37,-35.45,80.6,16.11
242,le vauclin,"(16.016963713457386, -58.525199441320495)",90,mq,1529947800,70,14.55,-60.84,86,17.22
243,nyimba,"(-14.92629859479473, 31.23206831371354)",88,zm,1529948169,45,-14.56,30.81,73.56,6.62
244,malindi,"(-3.960276272880421, 40.889364959206915)",75,ke,1529942400,73,-3.22,40.12,77,9.17
245,luganville,"(-15.103721531175395, 167.87968420920055)",56,vu,1529948171,100,-15.51,167.18,76.53,17.25
246,tabuk,"(29.14614518208529, 37.78114847011648)",0,sa,1529946000,12,28.38,36.58,98.6,6.93
248,tanabe,"(33.09275519292761, 134.93189698024452)",88,jp,1529948175,84,33.73,135.39,67.98,1.7
249,egvekinot,"(61.233143681760794, -178.85533994358616)",48,ru,1529948176,82,66.32,-179.17,39.81,4.5
